FULL_ADDRESS,Middle_School,High_School,UNITCOUNT,ZIP5,CITY,STATE,STATUS,ADDRESS_TYPE,OBJECTID,Longitude,Latitude
1276 N WAYNE ST,Dorothy Hamm Middle School,Yorktown High School,267.0,22201,ARLINGTON,VA,VERIFIED,Standard,2749,-77.08650299599998,38.888200624000035
1300 17th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2798,-77.07258818699995,38.89365465800006
1300 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,11.0,22209,ARLINGTON,VA,VERIFIED,Standard,2805,-77.07170451799993,38.88960421000007
1300 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2806,-77.07677935499999,38.88919193300006
1300 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2808,-77.15469622699999,38.88074670800006
1300 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2810,-77.15563635199999,38.88070768800003
1300 WILSON BLVD,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2828,-77.07268266599993,38.894363301000055
1301 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2829,-77.07192213399998,38.890323661000025
1301 N COURTHOUSE RD,Dorothy Hamm Middle School,Yorktown High School,170.0,22201,ARLINGTON,VA,VERIFIED,Standard,2830,-77.08304338099998,38.88848429800004
1301 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,13.0,22209,ARLINGTON,VA,VERIFIED,Standard,2837,-77.07526305799996,38.88904727700003
1301 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,2.0,22209,ARLINGTON,VA,VERIFIED,Standard,2838,-77.07585569799994,38.88939813400003
1301 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2842,-77.15509802399998,38.88073208800006
1301 N TROY ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2844,-77.08253425799995,38.88896120000004
1301 N TUCKAHOE ST,Williamsburg Middle School,Yorktown High School,1.0,22046,FALLS CHURCH,VA,VERIFIED,Standard,2845,-77.15615523499997,38.88066727300003
1301 FORT MYER DR,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2865,-77.07429482199996,38.88932383800005
1302 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,7.0,22209,ARLINGTON,VA,VERIFIED,Standard,2870,-77.07194757899998,38.88960496900006
1303 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2877,-77.07192676699998,38.89038393900006
1303 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,14.0,22209,ARLINGTON,VA,VERIFIED,Standard,2879,-77.07529416099999,38.88924155400008
1303 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2880,-77.07587070699998,38.889525294000066
1304 N MEADE ST,Dorothy Hamm Middle School,Yorktown High School,12.0,22209,ARLINGTON,VA,VERIFIED,Standard,2889,-77.07219972199994,38.88957488900007
1304 N ROOSEVELT ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2891,-77.15472118399998,38.88088091800006
1304 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2893,-77.15564607399995,38.880845101000034
1305 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2901,-77.07193017799995,38.89044384500005
1305 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,15.0,22209,ARLINGTON,VA,VERIFIED,Standard,2907,-77.07530728299997,38.889460162000034
1305 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2908,-77.07601674299997,38.88966651000004
1305 N SYCAMORE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2911,-77.15510415499995,38.880873579000024
1305 N TUCKAHOE ST,Williamsburg Middle School,Yorktown High School,1.0,22205,ARLINGTON,VA,VERIFIED,Standard,2913,-77.15623450199996,38.880783102000066
1306 N BARTON ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22201,ARLINGTON,VA,VERIFIED,Standard,2927,-77.08864399399994,38.888649730000054
1307 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2939,-77.07193359899998,38.89050320100006
1307 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,14.0,22209,ARLINGTON,VA,VERIFIED,Standard,2946,-77.07504075299994,38.88950883000007
1307 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2947,-77.07617633699994,38.88965221500007
1309 14th ST N,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2976,-77.07193701299997,38.89056294200003
1309 N ODE ST,Dorothy Hamm Middle School,Yorktown High School,14.0,22209,ARLINGTON,VA,VERIFIED,Standard,2980,-77.07508064199999,38.889787874000035
1309 N PIERCE ST,Dorothy Hamm Middle School,Yorktown High School,1.0,22209,ARLINGTON,VA,VERIFIED,Standard,2981,-77.07635480899995,38.88974189600003
